Date,Close,High,Low,Open,Volume,Target,Day,Day_Friday,Day_Monday,Day_Thursday,Day_Tuesday,Day_Wednesday,RSI,RSI_Scaled
2019-01-23,36.55378723144531,36.84351998595546,36.02656885020508,36.60840791094517,92522400,0,Wednesday,False,False,False,False,True,45.322728906816735,0.44479398127064973
2019-01-24,36.2640495300293,36.68677359804413,36.036065388764655,36.59890508773824,101766000,1,Thursday,False,False,True,False,False,44.06545541138635,0.43103827589600463
2019-01-25,37.465721130371094,37.553593252863344,36.64877383724475,36.92425433639867,134142000,0,Friday,True,False,False,False,False,73.37138090002507,0.7516715177627806
2019-01-28,37.11899948120117,37.12612375920128,36.49203765099391,36.99787950771421,104768400,0,Monday,False,True,False,False,False,64.00704754293056,0.6492172696152375
2019-01-29,36.73427200317383,37.55360024747364,36.59890709133916,37.10712614608624,166348800,1,Tuesday,False,False,False,True,False,61.25386308736335,0.619094949888875
2019-01-30,39.24448776245117,39.458223311358054,38.05230926781852,38.76951665488747,244439200,1,Wednesday,False,False,False,False,True,69.21046381664911,0.7061473341263043
2019-01-31,39.527103424072266,40.13506597381766,39.080629341215584,39.44873274205534,162958400,1,Thursday,False,False,True,False,False,68.05069123202802,0.693458376605429
2019-02-01,39.54609680175781,40.130309255024635,39.405977566123646,39.65059102884413,130672400,1,Friday,True,False,False,False,False,67.6864278905469,0.689473007294448
2019-02-04,40.669410705566406,40.76678067534809,39.72659254412772,39.75746683302016,125982000,1,Monday,False,True,False,False,False,74.19605585852847,0.7606942051893832
2019-02-05,41.3652458190918,41.57898506305087,40.93065029956902,41.051766667858935,144406400,1,Tuesday,False,False,False,True,False,80.36171770528901,0.8281521036593542
2019-02-06,41.37947845458984,41.69533463214748,41.04937372558083,41.47684476408809,112958400,0,Wednesday,False,False,False,False,True,78.75579069369628,0.8105818145337635
2019-02-07,40.595794677734375,41.30825157661004,40.45330184846197,40.94252167255768,126966800,1,Thursday,False,False,True,False,False,70.92066308442467,0.7248584557278945
2019-02-08,40.643497467041016,40.70312351098446,40.16887284710859,40.30482197415641,95280000,0,Friday,True,False,False,False,False,70.36333038367408,0.7187607335894381
2019-02-11,40.40975189208984,40.83429258000177,40.366822896722226,40.79613104681893,83973600,1,Monday,False,True,False,False,False,67.76095738208774,0.6902884271144666
2019-02-12,40.75796890258789,40.784204501347254,40.47414841763224,40.569552249159045,89134000,0,Tuesday,False,False,False,True,False,75.81326450393547,0.7783879255584208
2019-02-13,40.58863830566406,41.13719862995303,40.52662853099256,40.877229955507104,89960800,1,Wednesday,False,False,False,False,True,73.87275471807132,0.7571569992818548
2019-02-14,40.73651123046875,40.84622110600096,40.39783576019398,40.47654256965909,87342800,0,Thursday,False,False,True,False,False,76.91374637704115,0.7904281892493351
2019-02-15,40.645877838134766,40.95116286674207,40.486080490292245,40.84383672437435,98507200,1,Friday,True,False,False,False,False,72.09104384984454,0.7376634763091614
2019-02-19,40.76750564575195,40.88914507060669,40.42406278544301,40.4765339806188,75891200,1,Tuesday,False,False,False,True,False,76.16261384873273,0.782210122301868
2019-02-20,41.02985763549805,41.33752994452727,40.78181498726989,40.8295150766272,104457600,0,Wednesday,False,False,False,False,True,81.35293554235922,0.8389969203029782
2019-02-21,40.798526763916016,41.11096667516204,40.61726488697162,40.97502117727503,68998800,1,Thursday,False,False,True,False,False,66.99708274782458,0.6819309500418334
2019-02-22,41.25406265258789,41.26121748586465,40.87484193178192,40.922542033388446,75652800,1,Friday,True,False,False,False,False,68.19994564684278,0.6950913544447925
2019-02-25,41.554569244384766,41.945715831476846,41.48778838604835,41.53787584944258,87493600,1,Monday,False,True,False,False,False,69.98113873466336,0.7145792124331032
2019-02-26,41.57843780517578,41.809787171333845,41.3017720585332,41.43056636509815,68280800,1,Tuesday,False,False,False,True,False,61.57561143376774,0.6226151668297428
2019-02-27,41.70721435546875,41.73822105568102,41.196815683559215,41.311300281596466,111341600,0,Wednesday,False,False,False,False,True,55.089700687332446,0.5516534567177613
2019-02-28,41.29698181152344,41.7167513399161,41.24212688971162,41.57603479995883,112861600,1,Thursday,False,False,True,False,False,48.90163135119771,0.4839504001154211
2019-03-01,41.7310676574707,41.773996653747055,41.234978633444705,41.56649922650965,103544800,1,Friday,True,False,False,False,False,66.6666666666666,0.6783159002694701
2019-03-04,41.940956115722656,42.39411254373939,41.4925671504077,41.90279457840128,109744800,0,Monday,False,True,False,False,False,68.18185219991632,0.6948933958255766
2019-03-05,41.86461639404297,41.9767135907974,41.62849606995283,41.9624039298131,78949600,0,Tuesday,False,False,False,True,False,71.32857903425696,0.7293214239236814
2019-03-06,41.62373352050781,41.85508277180671,41.48540071586533,41.65950767718971,83241600,0,Wednesday,False,False,False,False,True,63.1046815508395,0.6393445722487389
2019-03-07,41.141963958740234,41.60466257047475,41.027482991072056,41.46871346445025,99185600,1,Thursday,False,False,True,False,False,57.65170098171095,0.5796840493830119
2019-03-08,41.23974609375,41.27790762437119,40.42644621389484,40.622021328865515,95997600,1,Friday,True,False,False,False,False,57.056779472431906,0.5731750717958557
2019-03-11,42.66839218139648,42.72086338701754,41.82170533647012,41.855095772839455,128044000,1,Monday,False,True,False,False,False,70.62264285981001,0.7215978458284698
2019-03-12,43.14777755737305,43.56754346277312,42.780479205774704,42.93073795318164,129870400,1,Tuesday,False,False,False,True,False,72.62021113076767,0.7434530433657619
2019-03-13,43.338584899902344,43.71780557424151,43.15016460861008,43.46737552238741,124130000,1,Wednesday,False,False,False,False,True,72.2427663664061,0.7393234574064373
2019-03-14,43.820369720458984,43.908618737237624,43.54132028091361,43.86091499226116,94318000,1,Thursday,False,False,True,False,False,77.77279930441611,0.7998270026444678
2019-03-15,44.3903923034668,44.678983933208535,43.822754887497275,44.08749464595025,156171600,1,Friday,True,False,False,False,False,78.2309127069152,0.8048391762215434
2019-03-18,44.84355163574219,44.931797007327894,44.311684756998986,44.31407212765884,104879200,0,Monday,False,True,False,False,False,78.81315546572613,0.8112094368496672
2019-03-19,44.488182067871094,45.07490392114361,44.34269438014027,44.92226139953133,126585600,1,Tuesday,False,False,False,True,False,74.09154364620642,0.7595507473769187
2019-03-20,44.876930236816406,45.19414111173891,44.05885931953551,44.416615452853335,124140800,1,Wednesday,False,False,False,False,True,75.16085076488899,0.7712499311528187
2019-03-21,46.5297737121582,46.82552016805965,45.27047209232707,45.32055956507145,204136800,0,Thursday,False,False,True,False,False,84.69323907427706,0.8755428519669712
2019-03-22,45.56620407104492,47.149870977024335,45.50180695205783,46.58938494734348,169630800,0,Friday,True,False,False,False,False,73.7587462495817,0.755909643866778
2019-03-25,45.01526641845703,45.788017395190856,44.504867775579754,45.67592017387485,175381200,0,Monday,False,True,False,False,False,68.27325627797973,0.6958934388332843
2019-03-26,44.5501823425293,46.002675178612826,44.02309028279383,45.71169986519132,199202000,1,Tuesday,False,False,False,True,False,65.25752305408363,0.6628985989140327
2019-03-27,44.95087814331055,45.25854690032797,44.4929506048766,45.017659015210214,119393600,1,Wednesday,False,False,False,False,True,68.56540039481152,0.6990897588167087
2019-03-28,45.010498046875,45.21084063526759,44.72667756034346,45.065352975754955,83121600,1,Thursday,False,False,True,False,False,72.65359278561233,0.7438182687607378
2019-03-29,45.303855895996094,45.334862595503004,44.96756422056934,45.27523656677985,94256000,1,Friday,True,False,False,False,False,73.26594379565806,0.7505179407976257
2019-04-01,45.61153030395508,45.71646906225277,44.92940835895731,45.70693049851085,111448000,1,Monday,False,True,False,False,False,69.32953453343612,0.7074500751009791
2019-04-02,46.27457046508789,46.37951286036313,45.56621293626409,45.575751499796354,91062800,1,Tuesday,False,False,False,True,False,70.0519898114452,0.7153543870798523
2019-04-03,46.5917854309082,46.866063737526034,46.06707340893333,46.090925278762874,93087200,1,Wednesday,False,False,False,False,True,70.52978841106808,0.7205819344581422
2019-04-04,46.672874450683594,46.835055514550795,46.06468818261306,46.45821854703762,76457200,1,Thursday,False,False,True,False,False,68.96000373232911,0.7034070750334842
2019-04-05,46.98530197143555,47.00915383424097,46.730100868694095,46.85412400457234,74106400,1,Friday,True,False,False,False,False,67.85939324691037,0.691365404207931
2019-04-08,47.72467803955078,47.755681101848495,46.82790017839874,46.84698094558115,103526800,0,Monday,False,True,False,False,False,69.07765847487852,0.7046943239736088
2019-04-09,47.58157730102539,48.38056764876141,47.51718016237022,47.77715244831723,143072800,1,Tuesday,False,False,False,True,False,71.07567923560298,0.7265544721568341
2019-04-10,47.84869766235352,47.8773206328261,47.26674699962892,47.38599906529268,86781200,0,Wednesday,False,False,False,False,True,70.5882290757654,0.7212213280096619
2019-04-11,47.45038986206055,47.93932399383451,47.32875408147207,47.90354983462724,83603200,0,Thursday,False,False,True,False,False,57.71990142438184,0.5804302237032459
2019-04-12,47.43131637573242,47.73421764754132,46.796898139641456,47.51002317734974,111042800,1,Friday,True,False,False,False,False,68.58377614084694,0.6992908060426474
2019-04-15,47.51718521118164,47.66506027266798,47.22620982993786,47.36215895495653,70146400,1,Monday,False,True,False,False,False,77.47518966448962,0.7965708849116417
2019-04-16,47.52193832397461,48.02756581308935,47.35736992515956,47.57202578246403,102785600,1,Tuesday,False,False,False,True,False,86.30539052756954,0.8931812420956091
2019-04-17,48.44734191894531,48.50696794754076,47.36930230294008,47.59110938245884,115627200,1,Wednesday,False,False,False,False,True,87.86159640656912,0.9102075372108823
2019-04-18,48.6214599609375,48.69062456855269,48.301865248411815,48.44496556601438,96783200,1,Thursday,False,False,True,False,False,88.15530865511265,0.9134210139687824
2019-04-22,48.78125762939453,48.879045212583904,48.25893291448305,48.375801267998504,77758000,1,Monday,False,True,False,False,False,87.81127792977455,0.9096570077165418
2019-04-23,49.484840393066406,49.54923753304765,48.63099509296689,48.75740200226944,93292000,0,Tuesday,False,False,False,True,False,88.77750781190913,0.9202284336084648
2019-04-24,49.40851593017578,49.72333948607253,49.38228033057737,49.45621602782266,70162400,0,Wednesday,False,False,False,False,True,85.5519445394078,0.8849378638119418
2019-04-25,48.960113525390625,49.551602579778915,48.92195200206669,49.3297955491145,74172800,0,Thursday,False,False,True,False,False,76.09011560717924,0.7814169261877256
2019-04-26,48.72639083862305,48.89334298926619,48.20644998172418,48.86949112233834,74596400,1,Friday,True,False,False,False,False,71.88606109689484,0.7354207802158228
2019-04-29,48.80032730102539,49.12469304422843,48.62144921409616,48.75023983540025,88818800,0,Monday,False,True,False,False,False,70.38031419568946,0.7189465518024769
2019-04-30,47.860626220703125,48.51174151592459,47.488560337719434,48.43065098025572,186139600,1,Tuesday,False,False,False,True,False,51.46079887720402,0.5119499997411587
2019-05-01,50.20988082885742,51.352313790983374,49.90220852221569,50.05723836052837,259309200,0,Wednesday,False,False,False,False,True,69.15849804965345,0.7055787817922592
2019-05-02,49.88313674926758,50.71790119448601,49.63986515980281,50.04770517932468,127985200,1,Thursday,False,False,True,False,False,64.70184786180396,0.6568190114123634
2019-05-03,50.50325393676758,50.52471843691336,50.14072660851696,50.298140221488424,83569600,0,Friday,True,False,False,False,False,71.37620344480902,0.7298424779048368
2019-05-06,49.72334289550781,49.80920453287324,48.53559327802315,48.72400995039716,129772400,0,Monday,False,True,False,False,False,64.5034897244187,0.6546487945848777
2019-05-07,48.3829460144043,49.47052422124375,47.898782941090104,49.10322947707866,155054800,1,Tuesday,False,False,False,True,False,54.72774737796398,0.5476933612404077
2019-05-08,48.392486572265625,48.97443723236416,48.11820827819037,48.153982442014374,105358000,0,Wednesday,False,False,False,False,True,54.75140631499873,0.5479522113382664
2019-05-09,47.87255096435547,48.10151289928511,46.90422474446259,47.79622789318936,139634400,0,Thursday,False,False,True,False,False,46.71753809475261,0.46005445109907483
2019-05-10,47.2093505859375,47.60918957732427,46.15349960538394,47.266813330080936,164834800,0,Friday,True,False,False,False,False,42.362491169460526,0.41240631199902555
2019-05-13,44.465576171875,45.36580404744378,43.7784343150076,44.94202857472407,229722400,1,Monday,False,True,False,False,False,31.75734379263038,0.29637643997787977
2019-05-14,45.16947555541992,45.41847349035006,44.39135198547642,44.63077462238211,146118800,1,Tuesday,False,False,False,True,False,31.759170425026568,0.2963964249828617
2019-05-15,45.71056365966797,45.90928486174179,44.5373943474672,44.59724999917742,106178800,0,Wednesday,False,False,False,False,True,34.959878362863435,0.3314150550129972
2019-05-16,45.50944519042969,46.08166501987308,45.21255987117796,45.468743789558665,132125600,0,Thursday,False,False,True,False,False,35.6775250199818,0.3392667563447269
2019-05-17,45.25088119506836,45.70578277221741,44.71457313979075,44.75527455220516,131516400,0,Friday,True,False,False,False,False,35.604104174330075,0.3384634661100936
2019-05-20,43.83589172363281,44.13756659807393,43.1631146676168,43.938845361937226,154449200,1,Monday,False,True,False,False,False,31.492885111422652,0.2934830236164576
2019-05-21,44.676265716552734,45.011455948466185,44.22136051232789,44.3458613070241,113459200,0,Tuesday,False,False,False,True,False,38.040327241562,0.3651179425319361
2019-05-22,43.76166915893555,44.4631793828225,43.70660297552515,44.2117848841149,118994400,0,Wednesday,False,False,False,False,True,22.85706394605711,0.19899935554372164
2019-05-23,43.01466751098633,43.22535692609775,42.571734215795686,43.048186530660814,146118800,0,Thursday,False,False,True,False,False,22.076005434276894,0.19045387136111774
2019-05-24,42.84946823120117,43.608437527210064,42.76566884967899,43.143957042131575,94858800,0,Friday,True,False,False,False,False,17.688066515370437,0.14244586420134367
2019-05-28,42.67228698730469,43.23732444311592,42.59567365858896,42.83748915813703,111792800,0,Tuesday,False,False,False,True,False,18.63649259313054,0.15282250042465984
2019-05-29,42.468788146972656,42.94045102998245,42.13838374175984,42.238940810020374,113924800,1,Wednesday,False,False,False,False,True,20.733471187487567,0.17576533651064485
2019-05-30,42.689056396484375,42.91171769264385,42.29879633379257,42.60525701321821,84873600,0,Thursday,False,False,True,False,False,22.352875476990192,0.19348307920529156
2019-05-31,41.91571044921875,42.61482390464401,41.89655620551277,42.19343784970935,108174400,0,Friday,True,False,False,False,False,21.816880381061836,0.18761880969778777
2019-06-03,41.4919319152832,42.598063014392494,40.766481823880554,42.042604554336634,161584400,1,Monday,False,True,False,False,False,22.32260218547711,0.19315186210711185
2019-06-04,43.009864807128906,43.05535567411662,41.784022575156136,42.00429087288261,123872000,1,Tuesday,False,False,False,True,False,42.00407835880002,0.4084849527690223
2019-06-05,43.70419692993164,44.29078518409569,43.36900677323679,44.120793541794136,119093600,1,Wednesday,False,False,False,False,True,41.94305936958048,0.40781735002306985
2019-06-06,44.345855712890625,44.4057113648459,43.61082655329625,43.8334914782854,90105200,1,Thursday,False,False,True,False,False,42.5781395869898,0.41476570007713476
2019-06-07,45.52621841430664,45.94999755545234,44.47754962295111,44.65472005742901,122737600,1,Friday,True,False,False,False,False,50.082439226147464,0.4968695026741763
2019-06-10,46.108009338378906,46.77599685145349,45.87816201203644,45.9236528950948,104883600,1,Monday,False,True,False,False,False,54.08299700713599,0.5406392109910484
2019-06-11,46.64191055297851,46.92682399749105,46.3522112874126,46.65388241220901,107731600,0,Tuesday,False,False,False,True,False,64.59154327210516,0.655612179770018
2019-06-12,46.49347686767578,46.919648817978434,46.30193805046919,46.436014126524086,73012800,0,Wednesday,False,False,False,False,True,60.182413960417854,0.6073723306117242
2019-06-13,46.48389434814453,47.11596983908178,46.35221484639415,46.615577503193705,86698400,0,Thursday,False,False,True,False,False,66.97514345074389,0.6816909143551942
